,Freq,Genes
ROCK1,20,ROCK1
ROS1,20,ROS1
RTTN,20,RTTN
SCN4A,20,SCN4A
SCN8A,20,SCN8A
SEMA5B,20,SEMA5B
SLC14A2,20,SLC14A2
SLC32A1,20,SLC32A1
SMAD4,20,SMAD4
SNRNP200,20,SNRNP200
SPAM1,20,SPAM1
SPTBN5,20,SPTBN5
TAF3,20,TAF3
TAS2R1,20,TAS2R1
TCHHL1,20,TCHHL1
TMEM132E,20,TMEM132E
TNXB,20,TNXB
TUBA3C,20,TUBA3C
USP26,20,USP26
USP9X,20,USP9X
VCAM1,20,VCAM1
WDR7,20,WDR7
ZBED9,20,ZBED9
ZSCAN4,20,ZSCAN4
ABCA2,19,ABCA2
ABCC8,19,ABCC8
ABI3BP,19,ABI3BP
ADAMTS1,19,ADAMTS1
ADAMTS3,19,ADAMTS3
ADGRE1,19,ADGRE1
AGL,19,AGL
AHCTF1,19,AHCTF1
ARHGAP36,19,ARHGAP36
ARHGEF6,19,ARHGEF6
ASCC3,19,ASCC3
ATP7B,19,ATP7B
BACH2,19,BACH2
BMPER,19,BMPER
BTAF1,19,BTAF1
BZRAP1,19,BZRAP1
C6orf118,19,C6orf118
C9,19,C9
CACNA1G,19,CACNA1G
CCDC141,19,CCDC141
CD1E,19,CD1E
CD5L,19,CD5L
CDH22,19,CDH22
CDKN2A,19,CDKN2A
CEP350,19,CEP350
CFHR4,19,CFHR4
CNTLN,19,CNTLN
COL27A1,19,COL27A1
COL2A1,19,COL2A1
COL4A4,19,COL4A4
CTNNB1,19,CTNNB1
CYLC1,19,CYLC1
DACH1,19,DACH1
DACT1,19,DACT1
DENND2A,19,DENND2A
DLG5,19,DLG5
DNAI2,19,DNAI2
DSP,19,DSP
ENPP2,19,ENPP2
FAM171B,19,FAM171B
FCRL1,19,FCRL1
FCRL3,19,FCRL3
GABRQ,19,GABRQ
GBP4,19,GBP4
GPATCH8,19,GPATCH8
GPR139,19,GPR139
GRIA3,19,GRIA3
HECW2,19,HECW2
IFT172,19,IFT172
IGDCC4,19,IGDCC4
IGSF22,19,IGSF22
INADL,19,INADL
ITGA2,19,ITGA2
KIAA1551,19,KIAA1551
LAMC1,19,LAMC1
LAMC3,19,LAMC3
LRRK2,19,LRRK2
LY75,19,LY75
MDC1,19,MDC1
MGAT5B,19,MGAT5B
MPPED2,19,MPPED2
MROH7,19,MROH7
MYLK,19,MYLK
NCAM1,19,NCAM1
NOBOX,19,NOBOX
NSD1,19,NSD1
OR10AG1,19,OR10AG1
OR10Z1,19,OR10Z1
OR11H12,19,OR11H12
OR2A25,19,OR2A25
OR2B11,19,OR2B11
OR2M2,19,OR2M2
OR4K13,19,OR4K13
OR4K17,19,OR4K17
OR4K2,19,OR4K2
OR4S2,19,OR4S2
OR8K5,19,OR8K5
OTOA,19,OTOA
PCDH19,19,PCDH19
PCDH20,19,PCDH20
PCDHA11,19,PCDHA11
PCDHGA9,19,PCDHGA9
PCDHGB1,19,PCDHGB1
PDZRN4,19,PDZRN4
PIK3R4,19,PIK3R4
PPFIA2,19,PPFIA2
PRG4,19,PRG4
PSKH2,19,PSKH2
PTPRN,19,PTPRN
RBFOX1,19,RBFOX1
RXFP1,19,RXFP1
SHPRH,19,SHPRH
SLC27A6,19,SLC27A6
SNTG2,19,SNTG2
SPTB,19,SPTB
SPTBN1,19,SPTBN1
SULF2,19,SULF2
TDRD6,19,TDRD6
TGM6,19,TGM6
TRPM3,19,TRPM3
TTC21B,19,TTC21B
UGT2B28,19,UGT2B28
UMOD,19,UMOD
UNC13A,19,UNC13A
UNC45B,19,UNC45B
VEGFC,19,VEGFC
ZFC3H1,19,ZFC3H1
ZIM3,19,ZIM3
ZNF107,19,ZNF107
ZNF33A,19,ZNF33A
ZNF648,19,ZNF648
A2M,18,A2M
ABCA8,18,ABCA8
ABCG5,18,ABCG5
ACACA,18,ACACA
ADCY5,18,ADCY5
ANKHD1-EIF4EBP3,18,ANKHD1-EIF4EBP3
ANO7,18,ANO7
ARHGAP21,18,ARHGAP21
ARHGAP6,18,ARHGAP6
ATR,18,ATR
AUTS2,18,AUTS2
BAZ2B,18,BAZ2B
C1orf94,18,C1orf94
C5orf42,18,C5orf42
CACNA1S,18,CACNA1S
CACNB2,18,CACNB2
CCDC73,18,CCDC73
CDH19,18,CDH19
CDH20,18,CDH20
CHAT,18,CHAT
CNTN4,18,CNTN4
COL28A1,18,COL28A1
COL6A2,18,COL6A2
CPAMD8,18,CPAMD8
CPZ,18,CPZ
CWH43,18,CWH43
DCAF8L1,18,DCAF8L1
DCAF8L2,18,DCAF8L2
DHX9,18,DHX9
DLG2,18,DLG2
DNMT3A,18,DNMT3A
DPY19L2,18,DPY19L2
DPYD,18,DPYD
DPYS,18,DPYS
DRD5,18,DRD5
EPPK1,18,EPPK1
EYA1,18,EYA1
FOXP2,18,FOXP2
GABRA3,18,GABRA3
GABRB1,18,GABRB1
GALNT14,18,GALNT14
GBA3,18,GBA3
GDF10,18,GDF10
GHR,18,GHR
GNAS,18,GNAS
GOLGA3,18,GOLGA3
GPRASP1,18,GPRASP1
GRIA4,18,GRIA4
GRM6,18,GRM6
HCFC1,18,HCFC1
HDX,18,HDX
HEATR5B,18,HEATR5B
HEPHL1,18,HEPHL1
HOXB3,18,HOXB3
HTR1A,18,HTR1A
IL18RAP,18,IL18RAP
INPP4B,18,INPP4B
ITIH2,18,ITIH2
ITPR3,18,ITPR3
ITSN1,18,ITSN1
KANK4,18,KANK4
KIAA0100,18,KIAA0100
KIAA0556,18,KIAA0556
LRRTM3,18,LRRTM3
MAGEB4,18,MAGEB4
MAGEC3,18,MAGEC3
MAP1A,18,MAP1A
MAP3K4,18,MAP3K4
MCF2,18,MCF2
MMP2,18,MMP2
MYH15,18,MYH15
MYO3B,18,MYO3B
MYOF,18,MYOF
NAALAD2,18,NAALAD2
NCOA6,18,NCOA6
NPY5R,18,NPY5R
NRK,18,NRK
NTRK2,18,NTRK2
OR10R2,18,OR10R2
OR13G1,18,OR13G1
OR2T27,18,OR2T27
OR4L1,18,OR4L1
OR4N2,18,OR4N2
OR4N5,18,OR4N5
OR5T1,18,OR5T1
OR6Y1,18,OR6Y1
OR8H1,18,OR8H1
OR8I2,18,OR8I2
PGBD1,18,PGBD1
PIEZO2,18,PIEZO2
PIK3AP1,18,PIK3AP1
POTEC,18,POTEC
POTEG,18,POTEG
PPARGC1A,18,PPARGC1A
PPP1R16B,18,PPP1R16B
PRDM14,18,PRDM14
PRKG1,18,PRKG1
PROX1,18,PROX1
PRRC2B,18,PRRC2B
PTPRK,18,PTPRK
RBBP6,18,RBBP6
REV3L,18,REV3L
RICTOR,18,RICTOR
SALL4,18,SALL4
SERPINB4,18,SERPINB4
SIGLEC1,18,SIGLEC1
SIGLEC10,18,SIGLEC10
SLC26A3,18,SLC26A3
SLC4A1,18,SLC4A1
SMARCA1,18,SMARCA1
SMC4,18,SMC4
SOX5,18,SOX5
SPATA18,18,SPATA18
SPTBN4,18,SPTBN4
STAG2,18,STAG2
SYT9,18,SYT9
TBX15,18,TBX15
TDRD5,18,TDRD5
TMEM2,18,TMEM2
TRANK1,18,TRANK1
TRIM42,18,TRIM42
TRPC7,18,TRPC7
UGT2A1,18,UGT2A1
UNC5C,18,UNC5C
USP6,18,USP6
VAV3,18,VAV3
VPS13A,18,VPS13A
WDR72,18,WDR72
WNK1,18,WNK1
XIRP1,18,XIRP1
ZNF385D,18,ZNF385D
ZNF711,18,ZNF711
ADAD1,17,ADAD1
ADAMTS17,17,ADAMTS17
ADGRA3,17,ADGRA3
ADGRB1,17,ADGRB1
AKAP13,17,AKAP13
ALDH1L1,17,ALDH1L1
ARFGEF3,17,ARFGEF3
ARHGAP35,17,ARHGAP35
ARHGEF12,17,ARHGEF12
ASXL2,17,ASXL2
ATF7IP,17,ATF7IP
ATP13A5,17,ATP13A5
BCL9L,17,BCL9L
BICC1,17,BICC1
BNC1,17,BNC1
C10orf71,17,C10orf71
C2orf16,17,C2orf16
C2orf78,17,C2orf78
CACNA2D3,17,CACNA2D3
CAMSAP2,17,CAMSAP2
CCER1,17,CCER1
CDH17,17,CDH17
CDH4,17,CDH4
CFAP58,17,CFAP58
CHRDL1,17,CHRDL1
CRB2,17,CRB2
CRISPLD1,17,CRISPLD1
CSPP1,17,CSPP1
CYLC2,17,CYLC2
DCLK3,17,DCLK3
DDX26B,17,DDX26B
DOCK3,17,DOCK3
DSC3,17,DSC3
DYTN,17,DYTN
EBF3,17,EBF3
FAM179B,17,FAM179B
FAM71A,17,FAM71A
FASN,17,FASN
FERD3L,17,FERD3L
GAB4,17,GAB4
GABRA1,17,GABRA1
GFRA1,17,GFRA1
GLDC,17,GLDC
GLRA2,17,GLRA2
GPR179,17,GPR179
GRIK1,17,GRIK1
GRIK3,17,GRIK3
HAS2,17,HAS2
HDAC4,17,HDAC4
HELZ,17,HELZ
HIVEP1,17,HIVEP1
HNF4A,17,HNF4A
HOXA1,17,HOXA1
IMPG1,17,IMPG1
IQGAP3,17,IQGAP3
KIAA1462,17,KIAA1462
KIAA2026,17,KIAA2026
KIF13A,17,KIF13A
KIF26B,17,KIF26B
KNTC1,17,KNTC1
KRTAP11-1,17,KRTAP11-1
LRRN3,17,LRRN3
LTN1,17,LTN1
MAATS1,17,MAATS1
MBD5,17,MBD5
MC5R,17,MC5R
MCF2L2,17,MCF2L2
MSH4,17,MSH4
MYBPC1,17,MYBPC1
MYO7A,17,MYO7A
MYOCD,17,MYOCD
NCKAP1L,17,NCKAP1L
NCOA2,17,NCOA2
NHS,17,NHS
NLRC5,17,NLRC5
NMUR2,17,NMUR2
NOS2,17,NOS2
NOTCH2,17,NOTCH2
NOVA1,17,NOVA1
NPAS3,17,NPAS3
NPFFR2,17,NPFFR2
NPY2R,17,NPY2R
OLFML2B,17,OLFML2B
OR10Q1,17,OR10Q1
OR13F1,17,OR13F1
OR4C13,17,OR4C13
OR51T1,17,OR51T1
OR5D18,17,OR5D18
OR6K3,17,OR6K3
OR8K3,17,OR8K3
PCDHA12,17,PCDHA12
PCDHB13,17,PCDHB13
PDCD11,17,PDCD11
PDE4DIP,17,PDE4DIP
PHLDB2,17,PHLDB2
PIK3C2G,17,PIK3C2G
PLA2G4A,17,PLA2G4A
PLB1,17,PLB1
PLCH1,17,PLCH1
PLD1,17,PLD1
POU3F4,17,POU3F4
PPRC1,17,PPRC1
PRAMEF15,17,PRAMEF15
PSG11,17,PSG11
PSME4,17,PSME4
PTGS1,17,PTGS1
PTPN13,17,PTPN13
RALGAPB,17,RALGAPB
RB1CC1,17,RB1CC1
REG3G,17,REG3G
ROBO3,17,ROBO3
RPE65,17,RPE65
RTN1,17,RTN1
SERPINA3,17,SERPINA3
SERPINA9,17,SERPINA9
SGCZ,17,SGCZ
SIPA1L1,17,SIPA1L1
SLC4A10,17,SLC4A10
SLC5A12,17,SLC5A12
SLC5A7,17,SLC5A7
SLC6A18,17,SLC6A18
SLIT1,17,SLIT1
SOS2,17,SOS2
SP140,17,SP140
SPTAN1,17,SPTAN1
SRGAP1,17,SRGAP1
SRGAP3,17,SRGAP3
SSTR4,17,SSTR4
ST8SIA6,17,ST8SIA6
STAG3,17,STAG3
SYCP2,17,SYCP2
SYT4,17,SYT4
TAF1,17,TAF1
TBX5,17,TBX5
TGFBR3,17,TGFBR3
TGIF2LX,17,TGIF2LX
TMTC3,17,TMTC3
TNC,17,TNC
TRIML2,17,TRIML2
TTK,17,TTK
TTLL7,17,TTLL7
VWA3B,17,VWA3B
WDR17,17,WDR17
ZMYM3,17,ZMYM3
ZNF462,17,ZNF462
ZNF518B,17,ZNF518B
ZNF638,17,ZNF638
ZNF761,17,ZNF761
ZNF835,17,ZNF835
ZSCAN1,17,ZSCAN1
ZZEF1,17,ZZEF1
ABCA7,16,ABCA7
ABCC4,16,ABCC4
ABLIM3,16,ABLIM3
ADAM29,16,ADAM29
ADAMTS7,16,ADAMTS7
ADGRG7,16,ADGRG7
AMOT,16,AMOT
AMPD1,16,AMPD1
AMY2B,16,AMY2B
ANKRD12,16,ANKRD12
ANKRD26,16,ANKRD26
ARHGAP31,16,ARHGAP31
ARMC5,16,ARMC5
ASAP1,16,ASAP1
ASB5,16,ASB5
ATP1A2,16,ATP1A2
BEND2,16,BEND2
BRIP1,16,BRIP1
C8A,16,C8A
C8B,16,C8B
CCDC80,16,CCDC80
CCSER1,16,CCSER1
CDYL,16,CDYL
CELSR1,16,CELSR1
CEP164,16,CEP164
CEP170,16,CEP170
CFAP43,16,CFAP43
CHGB,16,CHGB
CNGA2,16,CNGA2
CNTN6,16,CNTN6
COL11A2,16,COL11A2
COL1A1,16,COL1A1
CORIN,16,CORIN
CPXCR1,16,CPXCR1
CR2,16,CR2
CROCC,16,CROCC
CT47B1,16,CT47B1
CYP26B1,16,CYP26B1
DDX60L,16,DDX60L
DIAPH3,16,DIAPH3
DIO2,16,DIO2
DLGAP4,16,DLGAP4
DNAJC6,16,DNAJC6
DOCK9,16,DOCK9
DRD2,16,DRD2
DSC2,16,DSC2
E2F7,16,E2F7
ELMO1,16,ELMO1
ENTHD1,16,ENTHD1
FAM135A,16,FAM135A
FGB,16,FGB
FHL5,16,FHL5
FLT4,16,FLT4
FMO1,16,FMO1
FN1,16,FN1
FOXG1,16,FOXG1
FYB,16,FYB
GBP6,16,GBP6
GCC2,16,GCC2
GJA8,16,GJA8
GPR174,16,GPR174
GPR50,16,GPR50
GPRASP2,16,GPRASP2
HTR1E,16,HTR1E
HTR5A,16,HTR5A
IL1RL1,16,IL1RL1
IMPG2,16,IMPG2
INTU,16,INTU
IRS1,16,IRS1
ITGAE,16,ITGAE
ITGBL1,16,ITGBL1
KCNA1,16,KCNA1
KCNMA1,16,KCNMA1
KCTD8,16,KCTD8
KIF17,16,KIF17
KIR3DL1,16,KIR3DL1
KRTAP24-1,16,KRTAP24-1
LAMB3,16,LAMB3
LHX8,16,LHX8
LINGO2,16,LINGO2
LMX1A,16,LMX1A
LRBA,16,LRBA
LRP12,16,LRP12
LRRN2,16,LRRN2
LUM,16,LUM
MAGEB6,16,MAGEB6
MAGEE1,16,MAGEE1
MAN2A1,16,MAN2A1
MED13,16,MED13
MEFV,16,MEFV
MET,16,MET
MTMR8,16,MTMR8
MTR,16,MTR
MYH9,16,MYH9
MYO5B,16,MYO5B
MYO9A,16,MYO9A
MYOC,16,MYOC
MYOM3,16,MYOM3
NCOR1,16,NCOR1
NINL,16,NINL
NME8,16,NME8
NOX3,16,NOX3
NPR3,16,NPR3
NUP210L,16,NUP210L
OGT,16,OGT
OLFM3,16,OLFM3
OR10J1,16,OR10J1
OR10K1,16,OR10K1
OR11L1,16,OR11L1
OR14C36,16,OR14C36
OR2L3,16,OR2L3
OR2T2,16,OR2T2
OR51D1,16,OR51D1
OR51G2,16,OR51G2
OR6K6,16,OR6K6
OR6N1,16,OR6N1
OR6N2,16,OR6N2
OR8K1,16,OR8K1
PALLD,16,PALLD
PCDH11Y,16,PCDH11Y
PCF11,16,PCF11
PEAK1,16,PEAK1
PEX5L,16,PEX5L
PGR,16,PGR
PLCG2,16,PLCG2
PLEKHG4B,16,PLEKHG4B
PLXNA3,16,PLXNA3
PMS1,16,PMS1
POF1B,16,POF1B
POLR3A,16,POLR3A
PRDM16,16,PRDM16
PRDM2,16,PRDM2
PRKCG,16,PRKCG
PRLR,16,PRLR
PSG7,16,PSG7
PTCH1,16,PTCH1
PTPRU,16,PTPRU
RBM19,16,RBM19
RET,16,RET
RFX4,16,RFX4
RIMS1,16,RIMS1
ROBO4,16,ROBO4
RPTN,16,RPTN
SCAF8,16,SCAF8
SCN9A,16,SCN9A
SHANK2,16,SHANK2
SIRPG,16,SIRPG
SLC12A2,16,SLC12A2
SLC24A2,16,SLC24A2
SLC4A3,16,SLC4A3
SLC5A11,16,SLC5A11
SMARCA2,16,SMARCA2
SP100,16,SP100
SPAG16,16,SPAG16
STK31,16,STK31
SUPT6H,16,SUPT6H
SV2A,16,SV2A
SVIL,16,SVIL
TBR1,16,TBR1
TBX4,16,TBX4
TEX14,16,TEX14
TLR7,16,TLR7
TMPRSS11A,16,TMPRSS11A
TRIM49,16,TRIM49
TRPM8,16,TRPM8
TSHR,16,TSHR
TXLNB,16,TXLNB
UGT2A3,16,UGT2A3
UGT2B4,16,UGT2B4
VGLL3,16,VGLL3
WDR64,16,WDR64
WDR66,16,WDR66
WDR78,16,WDR78
WNK3,16,WNK3
ZBTB41,16,ZBTB41
ZGRF1,16,ZGRF1
ZNF407,16,ZNF407
ZNF492,16,ZNF492
ZNF560,16,ZNF560
ZNF800,16,ZNF800
ZNF91,16,ZNF91
ZPLD1,16,ZPLD1
ABCB4,15,ABCB4
ADAM12,15,ADAM12
ADAM33,15,ADAM33
ADAMTS6,15,ADAMTS6
ADGRF4,15,ADGRF4
AGRN,15,AGRN
ANKFN1,15,ANKFN1
ANTXR1,15,ANTXR1
AOX1,15,AOX1
ARHGEF17,15,ARHGEF17
ASIC4,15,ASIC4
ATOH1,15,ATOH1
ATP10A,15,ATP10A
ATP12A,15,ATP12A
BRDT,15,BRDT
C2orf71,15,C2orf71
C7orf60,15,C7orf60
CALCRL,15,CALCRL
CCDC39,15,CCDC39
CDHR1,15,CDHR1
CDK12,15,CDK12
CDX4,15,CDX4
CEP152,15,CEP152
CFAP46,15,CFAP46
CFAP74,15,CFAP74
CFHR5,15,CFHR5
CHD4,15,CHD4
CHD9,15,CHD9
CHM,15,CHM
CHST1,15,CHST1
CILP2,15,CILP2
CIT,15,CIT
CKAP5,15,CKAP5
CLEC16A,15,CLEC16A
CLTC,15,CLTC
CNTN2,15,CNTN2
COL16A1,15,COL16A1
CROT,15,CROT
DCLK1,15,DCLK1
DIAPH2,15,DIAPH2
DLGAP1,15,DLGAP1
DOCK7,15,DOCK7
DROSHA,15,DROSHA
DRP2,15,DRP2
DSC1,15,DSC1
EDNRB,15,EDNRB
EMILIN2,15,EMILIN2
EPB41L2,15,EPB41L2
EPHA4,15,EPHA4
FAM208B,15,FAM208B
FAM46D,15,FAM46D
FAM83C,15,FAM83C
FCRL4,15,FCRL4
FCRLA,15,FCRLA
FER,15,FER
FGA,15,FGA
FMO2,15,FMO2
FRMD7,15,FRMD7
GALNT15,15,GALNT15
GALNTL6,15,GALNTL6
GBP5,15,GBP5
GLP2R,15,GLP2R
GP2,15,GP2
GPC6,15,GPC6
GPR141,15,GPR141
GRIA2,15,GRIA2
GRM3,15,GRM3
HCLS1,15,HCLS1
HK3,15,HK3
HPSE2,15,HPSE2
HTATSF1,15,HTATSF1
IFI16,15,IFI16
IGHM,15,IGHM
ILDR2,15,ILDR2
IRX1,15,IRX1
KANSL1,15,KANSL1
KCNJ2,15,KCNJ2
KCNS2,15,KCNS2
KCNT1,15,KCNT1
KCTD3,15,KCTD3
KDM5C,15,KDM5C
KIAA1429,15,KIAA1429
KIRREL2,15,KIRREL2
KLB,15,KLB
KLHL38,15,KLHL38
KLHL6,15,KLHL6
KRT6B,15,KRT6B
KRT82,15,KRT82
LDB2,15,LDB2
LRRK1,15,LRRK1
LZTS1,15,LZTS1
MAGI1,15,MAGI1
MMP13,15,MMP13
MN1,15,MN1
MNDA,15,MNDA
MPO,15,MPO
MTNR1A,15,MTNR1A
MUC4,15,MUC4
MYO15A,15,MYO15A
MYO18A,15,MYO18A
MYRF,15,MYRF
NCOA1,15,NCOA1
NEDD4,15,NEDD4
NPC1L1,15,NPC1L1
NR4A2,15,NR4A2
NR5A2,15,NR5A2
NRP2,15,NRP2
NTM,15,NTM
NUP214,15,NUP214
NUTM1,15,NUTM1
OBSL1,15,OBSL1
OPHN1,15,OPHN1
OR10K2,15,OR10K2
OR10W1,15,OR10W1
OR1S1,15,OR1S1
OR2C3,15,OR2C3
OR4A47,15,OR4A47
OR4D11,15,OR4D11
OR4K1,15,OR4K1
OR51A7,15,OR51A7
OR52R1,15,OR52R1
OR5B12,15,OR5B12
OR5B3,15,OR5B3
OR5I1,15,OR5I1
OR8J1,15,OR8J1
PCDH9,15,PCDH9
PCDHA13,15,PCDHA13
PCDHA8,15,PCDHA8
PCDHB1,15,PCDHB1
PCDHGB4,15,PCDHGB4
PDE11A,15,PDE11A
PGM5,15,PGM5
PHF20L1,15,PHF20L1
PKP4,15,PKP4
PLXND1,15,PLXND1
PNLIP,15,PNLIP
POLA1,15,POLA1
POLR3B,15,POLR3B
PRAMEF18,15,PRAMEF18
PRAMEF4,15,PRAMEF4
PSG2,15,PSG2
PSG6,15,PSG6
PTPN14,15,PTPN14
R3HCC1L,15,R3HCC1L
RAB11FIP1,15,RAB11FIP1
RC3H2,15,RC3H2
RGS12,15,RGS12
RPGRIP1,15,RPGRIP1
RTP5,15,RTP5
SH3TC2,15,SH3TC2
SHROOM3,15,SHROOM3
SIGLEC8,15,SIGLEC8
SIM1,15,SIM1
SKIV2L2,15,SKIV2L2
SLC10A2,15,SLC10A2
SLC17A4,15,SLC17A4
SLC18A3,15,SLC18A3
SLC1A3,15,SLC1A3
SLC1A6,15,SLC1A6
SLC45A2,15,SLC45A2
SLC4A8,15,SLC4A8
SLC7A13,15,SLC7A13
SLC9A9,15,SLC9A9
SLCO1B1,15,SLCO1B1
SLCO1C1,15,SLCO1C1
SLCO6A1,15,SLCO6A1
SMYD1,15,SMYD1
SND1,15,SND1
SSFA2,15,SSFA2
STAB1,15,STAB1
STARD13,15,STARD13
SYCP1,15,SYCP1
TANC1,15,TANC1
TBX3,15,TBX3
TCF20,15,TCF20
TCF4,15,TCF4
TIMD4,15,TIMD4
TMPRSS11F,15,TMPRSS11F
TNS1,15,TNS1
TNS3,15,TNS3
TOX2,15,TOX2
TRIM48,15,TRIM48
TTBK1,15,TTBK1
TTC17,15,TTC17
TTI1,15,TTI1
UBBP4,15,UBBP4
UNC5B,15,UNC5B
URB2,15,URB2
UTP20,15,UTP20
WWC3,15,WWC3
XDH,15,XDH
XKR7,15,XKR7
ZCCHC12,15,ZCCHC12
ZIM2,15,ZIM2
ZNF135,15,ZNF135
ZNF221,15,ZNF221
ZNF229,15,ZNF229
ZNF334,15,ZNF334
ZNF496,15,ZNF496
ZNF578,15,ZNF578
ZNF592,15,ZNF592
ZWINT,15,ZWINT
AASS,14,AASS
ABCA4,14,ABCA4
ABCC12,14,ABCC12
ABCD2,14,ABCD2
ABCG8,14,ABCG8
ABL2,14,ABL2
ACE,14,ACE
ACSL6,14,ACSL6
ADAMTS15,14,ADAMTS15
ADGRB2,14,ADGRB2
ADGRE2,14,ADGRE2
AIM1L,14,AIM1L
AKAP3,14,AKAP3
ALS2,14,ALS2
AP3B2,14,AP3B2
ARFGEF1,14,ARFGEF1
ARHGAP25,14,ARHGAP25
ARMCX2,14,ARMCX2
ASTL,14,ASTL
ATP11C,14,ATP11C
ATP4A,14,ATP4A
BPIFC,14,BPIFC
BTK,14,BTK
C10orf12,14,C10orf12
C11orf63,14,C11orf63
C1orf168,14,C1orf168
CACNA1D,14,CACNA1D
CACNA1H,14,CACNA1H
CALN1,14,CALN1
CAPN11,14,CAPN11
CCDC136,14,CCDC136
CCDC40,14,CCDC40
CD22,14,CD22
CEP192,14,CEP192
CHRNA4,14,CHRNA4
CHSY3,14,CHSY3
CLEC4F,14,CLEC4F
CLTCL1,14,CLTCL1
CNOT1,14,CNOT1
CPA4,14,CPA4
CPB1,14,CPB1
CSF1R,14,CSF1R
DDI1,14,DDI1
DDR2,14,DDR2
DIP2C,14,DIP2C
DISP1,14,DISP1
DKK2,14,DKK2
DLK1,14,DLK1
DLX5,14,DLX5
DOCK5,14,DOCK5
DUSP22,14,DUSP22
EFHB,14,EFHB
EIF4G1,14,EIF4G1
ENPEP,14,ENPEP
EPHA8,14,EPHA8
ESRRG,14,ESRRG
ETNPPL,14,ETNPPL
FAP,14,FAP
FLRT2,14,FLRT2
FRMD6,14,FRMD6
GBF1,14,GBF1
GON4L,14,GON4L
GPR101,14,GPR101
GPR148,14,GPR148
GPR149,14,GPR149
GPR32,14,GPR32
GUCY1A3,14,GUCY1A3
HAPLN1,14,HAPLN1
HCK,14,HCK
HECTD1,14,HECTD1
HERC4,14,HERC4
HIP1,14,HIP1
HKR1,14,HKR1
HS3ST5,14,HS3ST5
IARS2,14,IARS2
IFI44L,14,IFI44L
IGF2BP1,14,IGF2BP1
IGKV1-5,14,IGKV1-5
IGSF3,14,IGSF3
IL1RAPL2,14,IL1RAPL2
ITGB8,14,ITGB8
ITSN2,14,ITSN2
JAKMIP2,14,JAKMIP2
KCNH3,14,KCNH3
KCNK18,14,KCNK18
KDM6B,14,KDM6B
KIDINS220,14,KIDINS220
KIF1B,14,KIF1B
KIF6,14,KIF6
KNDC1,14,KNDC1
KRT37,14,KRT37
LAMP5,14,LAMP5
LARP1,14,LARP1
LATS1,14,LATS1
LEF1,14,LEF1
LILRA1,14,LILRA1
LILRB5,14,LILRB5
LMO7,14,LMO7
LRIT2,14,LRIT2
LRP6,14,LRP6
LUZP2,14,LUZP2
MAGEB16,14,MAGEB16
MAGEB18,14,MAGEB18
MAP3K9,14,MAP3K9
MARCH11,14,MARCH11
MED1,14,MED1
MEGF8,14,MEGF8
MGAT4C,14,MGAT4C
MIA3,14,MIA3
MUC7,14,MUC7
MYO10,14,MYO10
NAP1L3,14,NAP1L3
NEBL,14,NEBL
NFE2L2,14,NFE2L2
NFRKB,14,NFRKB
NOD2,14,NOD2
NRG1,14,NRG1
NXF5,14,NXF5
NYNRIN,14,NYNRIN
OFD1,14,OFD1
OR10A2,14,OR10A2
OR10G7,14,OR10G7
OR11G2,14,OR11G2
OR11H6,14,OR11H6
OR2D3,14,OR2D3
OR2F2,14,OR2F2
OR4D6,14,OR4D6
OR4K5,14,OR4K5
OR4P4,14,OR4P4
OR51S1,14,OR51S1
OR5K3,14,OR5K3
OR5M3,14,OR5M3
OR5R1,14,OR5R1
OTUD6A,14,OTUD6A
PABPC5,14,PABPC5
PALM2-AKAP2,14,PALM2-AKAP2
PARK2,14,PARK2
PCDH1,14,PCDH1
PDE1A,14,PDE1A
PDE6A,14,PDE6A
PDGFRB,14,PDGFRB
PEAR1,14,PEAR1
PHACTR3,14,PHACTR3
PHEX,14,PHEX
PHKA1,14,PHKA1
PLEKHA7,14,PLEKHA7
PLEKHH2,14,PLEKHH2
PLXNB3,14,PLXNB3
PNPLA6,14,PNPLA6
POP1,14,POP1
POU6F2,14,POU6F2
PPEF2,14,PPEF2
PPIG,14,PPIG
PSG5,14,PSG5
PSG9,14,PSG9
RABGAP1L,14,RABGAP1L
RAPGEF6,14,RAPGEF6
RASGRF2,14,RASGRF2
REG1A,14,REG1A
RFX6,14,RFX6
RLF,14,RLF
RNF17,14,RNF17
RP11-240B13.2,14,RP11-240B13.2
RPAP1,14,RPAP1
RPL10L,14,RPL10L
RREB1,14,RREB1
SEMA3C,14,SEMA3C
SEPT14,14,SEPT14
SGOL2,14,SGOL2
SH3BP4,14,SH3BP4
SIPA1L3,14,SIPA1L3
SLC17A3,14,SLC17A3
SLC22A12,14,SLC22A12
SLC26A10,14,SLC26A10
SLC28A3,14,SLC28A3
SLC2A10,14,SLC2A10
SLC30A10,14,SLC30A10
SLC5A1,14,SLC5A1
SMC3,14,SMC3
SMO,14,SMO
SOX6,14,SOX6
STON2,14,STON2
SV2C,14,SV2C
SYNE3,14,SYNE3
TARS,14,TARS
TAS2R16,14,TAS2R16
TAS2R41,14,TAS2R41
TBX18,14,TBX18
TCEB3B,14,TCEB3B
TFAP2B,14,TFAP2B
TGM4,14,TGM4
TIAM2,14,TIAM2
TINAG,14,TINAG
TLR8,14,TLR8
TMPRSS11E,14,TMPRSS11E
TPH2,14,TPH2
TRAPPC8,14,TRAPPC8
TRERF1,14,TRERF1
TRIM29,14,TRIM29
